skimmer_call,skimmer_grid,latitude,longitude,continent,advertised_bands,last_seen,spot_policy,skimmer_version
3B8GL,LG89RR,-20.27083,57.45833,AF,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
5Z4GO,KI96UA,-3.97917,39.70833,AF,12m 15m 20m 40m ?,online,aggressive ALL spots,2.1
9M2CNC,OJ03TB,3.06250,101.62500,AS,12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
AA0O,EL87PS,27.77083,-82.70833,NA,10m 12m 15m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
AA4PA,EM55VD,35.14583,-88.20833,NA,10m 15m 160m 17m 20m 40m 6m 80m,online,normal CQ only,v.1.6.0.145
AC0C-1,EM28QP,38.64583,-94.62500,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
AK6RI-1,CM87XI,37.35417,-122.04167,NA,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
BA4OP,OM96NX,36.97917,119.12500,AS,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
BA6KC,OM65XH,35.31250,113.95833,AS,10m 12m 15m 17m 20m 30m 40m,online,normal CQ only,v.1.6.0.145
BD7JNA,OL63QD,23.14583,113.37500,AS,10m 12m 15m 17m 20m 30m 40m,online,normal CQ only,v.1.6.0.145
BD8CS,OM30BP,30.64583,106.12500,AS,12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
BG2TFW,PN11SW,41.93750,123.54167,AS,15m 160m 17m 20m 30m 40m 60m 80m,online,normal CQ only,v.1.6.0.145
BH4RRG,OM92IC,32.10417,118.70833,AS,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal CQ only,v.1.6.0.145
BH4XDZ,OM94NO,34.60417,119.12500,AS,10m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
BI7JMD,OL63NQ,23.68750,113.12500,AS,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
CT1EYQ,IM58OB,38.06250,-8.79167,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
DC8YZ,JN59MF,49.22917,11.04167,EU,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
DE0QPG,JO30FK,50.43750,6.45833,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 80m,online,minimal ALL spots,v.1.6.0.145
DE1LON,JO31HG,51.27083,6.62500,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
DF7GB,JN49CX,49.97917,8.20833,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal ALL spots,v.1.6.0.145
DG1ELE,JO30FL,50.47917,6.45833,EU,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
DK0TE,JN47RP,47.64583,9.45833,EU,10m 15m 160m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
DK2GOX,JN49WS,49.77083,9.87500,EU,4m,online,aggressive ALL spots,2.1
DK3UA,JO64LF,54.22917,12.95833,EU,160m 80m,online,normal CQ only,v.1.6.0.145
DK8NE,JO50AL,50.47917,10.04167,EU,6m,online,aggressive ALL spots,2.1
DK8NE/0,JO50AL,50.47917,10.04167,EU,6m,online,aggressive ALL spots,2.1
DK9DA,JO33MJ,53.39583,7.04167,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
DK9IP,JN48FX,48.97917,8.45833,EU,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
DK9IP-1,JN48FX,48.97917,8.45833,EU,10m 15m 160m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
DL0LA,JN68CM,48.52083,12.20833,EU,10m 15m 160m 20m 40m 80m,online,normal CQ only,v.1.6.0.145
DL1HWS,JO61AQ,51.68750,12.04167,EU,10m 15m 20m 40m 80m,online,normal CQ only,1.6
DL1HWS-3,JO61AQ,51.68750,12.04167,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m,online,normal CQ only,1.6
DL1HWS-4,JO61AQ,51.68750,12.04167,EU,160m 20m 30m 80m,online,normal CQ only,1.6
DL8LAS,JO54EF,54.22917,10.37500,EU,10m 12m 15m 160m 17m 20m 30m 40m 80m,online,minimal ALL spots,v.1.6.0.145
DL8LAS-1,JO54EF,54.22917,10.37500,EU,10m 12m 15m 160m 17m 20m 40m 80m,online,minimal ALL spots,v.1.6.0.145
DM5GG,JO61UE,51.18750,13.70833,EU,10m 12m 137kHz 15m 160m 17m 20m 30m 40m 472kHz 60m 80m,online,minimal CQ only,v.1.6.0.145
DO4DXA,JN58QC,48.10417,11.37500,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,minimal ALL spots,v.1.6.0.145
DR4W,JN59SV,49.89583,11.54167,EU,15m 2m,online,normal CQ only,1.6.0.145
EA1URA,IN73CI,43.35417,-5.79167,EU,10m 12m 15m 17m 20m 30m 40m,online,normal ALL spots,v.1.6.0.145
EA2CW,IN83MG,43.27083,-2.95833,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal ALL spots,v.1.6.0.145
EA2RCF-4,IN82PU,42.85417,-2.70833,EU,10m 12m 15m 17m 20m 30m 40m 80m,online,normal CQ only,v.1.6.0.145
EA4RKC,IM69QX,39.97917,-6.62500,EU,20m,online,normal ALL spots,v.1.6.0.145
EI4HQ,IO51UU,51.85417,-8.29167,EU,15m 160m 17m 20m 30m 40m 60m 80m,online,normal ALL spots,v.1.6.0.145
ES2RR,KO29HG,59.27083,24.62500,EU,10m 12m 15m 160m 17m 20m 30m 40m 60m 6m 80m ?,online,normal CQ only,v.1.6.0.145
