reporter_call,reporter_grid,latitude,longitude,spots,first_seen,last_seen,active_days
13HN1525,JO62TG,52.271,13.625,8197,2026-07-10 18:18:00,2026-07-17 04:08:00,8
14GI83,IN88NP,48.646,-2.875,35,2026-07-10 17:14:00,2026-07-11 05:06:00,2
161OS344,KO02EO,52.604,20.375,5252,2026-07-10 17:00:00,2026-07-13 05:22:00,4
22DX,NO13TH,53.312,83.625,1108,2026-07-10 17:20:00,2026-07-14 23:54:00,5
29NW1,IO53QW,53.938,-8.625,68,2026-07-17 15:28:00,2026-07-17 15:40:00,1
2E0CIT,JO01AK,51.438,0.042,4536,2026-07-10 17:00:00,2026-07-17 00:48:00,7
2E0DSS,IO82XL,52.479,-2.042,26525,2026-07-10 17:00:00,2026-07-17 16:58:00,8
2E0FWE,IO90BS,50.771,-1.875,2253,2026-07-10 17:00:00,2026-07-17 16:56:00,8
2E0GXA,IO82,52.479,-3.042,254,2026-07-14 19:36:00,2026-07-16 00:20:00,3
2E0GXA,IO82PV,52.896,-2.708,2,2026-07-15 22:40:00,2026-07-15 22:56:00,1
2E0GXA,IO82UD,52.146,-2.292,1,2026-07-15 21:00:00,2026-07-15 21:00:00,1
2E0GXA,IO82VB,52.062,-2.208,1,2026-07-15 23:16:00,2026-07-15 23:16:00,1
2E0GXA,IO82VE,52.188,-2.208,7,2026-07-15 20:50:00,2026-07-16 00:20:00,2
2E0GXA,IO82WL,52.479,-2.125,4,2026-07-15 21:02:00,2026-07-15 23:42:00,1
2E0HXE,JO01KD,51.146,0.875,992,2026-07-10 20:50:00,2026-07-11 07:28:00,2
2E0IFB,IO91QV,51.896,-0.625,24,2026-07-16 14:12:00,2026-07-16 14:16:00,1
2E0MZA,IO90WT,50.812,-0.125,906,2026-07-10 17:02:00,2026-07-17 16:32:00,8
2E0SIO,IO91RI,51.354,-0.542,8186,2026-07-10 17:00:00,2026-07-17 16:56:00,8
2M0HZO,IO75UU,55.854,-4.292,92,2026-07-10 18:50:00,2026-07-10 19:14:00,1
3B8DU/2,LG89UX,-20.021,57.708,209,2026-07-11 04:38:00,2026-07-17 14:10:00,6
3B8FA,LG89SW,-20.062,57.542,321,2026-07-11 10:26:00,2026-07-12 07:06:00,2
4L0VE,LN22AA,42.021,44.042,9,2026-07-10 17:26:00,2026-07-13 15:50:00,4
4X1DA,KM71LV,31.896,34.958,2298,2026-07-10 17:10:00,2026-07-17 16:58:00,8
4X1DA,KM71MV,31.896,35.042,133,2026-07-16 01:34:00,2026-07-16 06:30:00,1
4Z1BO,KM72,32.479,34.958,10,2026-07-12 13:18:00,2026-07-12 13:22:00,1
4Z4TJ,KM71JF,31.229,34.792,1252,2026-07-11 11:22:00,2026-07-14 11:26:00,2
56IGJF,FN42ED,42.146,-71.625,34196,2026-07-10 17:00:00,2026-07-17 16:58:00,8
5P1NSA,JO65EQ,55.688,12.375,134,2026-07-11 09:38:00,2026-07-11 10:20:00,1
5Q9T,JO65EG,55.271,12.375,132,2026-07-10 20:46:00,2026-07-16 21:08:00,4
5Z4GO,KI96UA,-3.979,39.708,7917,2026-07-10 21:58:00,2026-07-17 16:58:00,8
6K5EDY,PM45PM,35.521,129.292,1,2026-07-14 15:52:00,2026-07-14 15:52:00,1
6K5EHZ,PM35XF,35.229,127.958,1,2026-07-16 12:46:00,2026-07-16 12:46:00,1
7L4IOU1,PM95WR,35.729,139.875,878,2026-07-10 17:00:00,2026-07-17 16:54:00,8
7L4IOU2,PM95WR,35.729,139.875,3269,2026-07-10 17:00:00,2026-07-17 16:54:00,8
7L4IOU3,PM95WR,35.729,139.875,4580,2026-07-10 20:58:00,2026-07-17 16:54:00,8
7L4IOU4,PM95WR,35.729,139.875,3892,2026-07-10 17:00:00,2026-07-17 16:56:00,8
7L4IOU9,PM95WR,35.729,139.875,4715,2026-07-10 17:00:00,2026-07-17 16:54:00,8
9A/DG6SBO,JN65TG,45.271,13.625,316,2026-07-13 10:12:00,2026-07-13 13:40:00,1
9A1FER,JN75XT,45.812,15.958,23981,2026-07-10 17:00:00,2026-07-17 16:58:00,7
9M4CMA,OJ03TB,3.062,101.625,502,2026-07-10 17:08:00,2026-07-17 16:12:00,8
9V1KG,OJ11XI,1.354,103.958,298,2026-07-10 17:00:00,2026-07-17 15:30:00,8
9V69XX3,OJ11VI,1.354,103.792,547,2026-07-10 17:00:00,2026-07-12 19:38:00,2
A2NEW,KG25,-24.521,24.958,2158,2026-07-10 17:06:00,2026-07-17 16:32:00,8
A6009SWL,LL75QH,25.312,55.375,244,2026-07-10 17:12:00,2026-07-17 16:08:00,8
AA0N,EN42FA,42.021,-91.542,2710,2026-07-11 04:48:00,2026-07-17 06:40:00,6
AA0O,EL87PQ,27.688,-82.708,3933,2026-07-10 17:00:00,2026-07-17 16:54:00,8
AA0ZT/1,EN35JC,45.104,-93.208,4214,2026-07-10 17:00:00,2026-07-17 16:58:00,8
AA1QR,FN43CE,43.188,-71.792,6706,2026-07-10 17:00:00,2026-07-17 16:32:00,8
AA4WF,EM77QC,37.104,-84.625,1378,2026-07-14 03:34:00,2026-07-16 00:32:00,3
