band,reporter_call,reporter_grid,latitude,longitude,spots_24h,spots_72h,spots_168h,active_days_24h,active_days_72h,active_days_168h,first_seen_168h,last_seen_168h
7,13HN1525,JO62TG,52.271,13.625,1116,3045,8159,2,4,8,2026-07-10 18:18:00,2026-07-17 04:08:00
7,14GI83,IN88NP,48.646,-2.875,0,0,23,0,0,2,2026-07-10 18:02:00,2026-07-11 05:06:00
7,22DX,NO13TH,53.312,83.625,0,30,308,0,1,5,2026-07-10 17:46:00,2026-07-14 23:26:00
7,29NW1,IO53QW,53.938,-8.625,68,68,68,1,1,1,2026-07-17 15:28:00,2026-07-17 15:40:00
7,2E0CIT,JO01AK,51.438,0.042,0,0,2559,0,0,5,2026-07-10 21:36:00,2026-07-14 00:42:00
7,2E0DSS,IO82XL,52.479,-2.042,3827,10585,26525,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,2E0GXA,IO82,52.479,-3.042,0,133,133,0,3,3,2026-07-14 19:36:00,2026-07-16 00:16:00
7,2E0GXA,IO82WL,52.479,-2.125,0,1,1,0,1,1,2026-07-15 22:26:00,2026-07-15 22:26:00
7,2E0IFB,IO91QV,51.896,-0.625,0,12,12,0,1,1,2026-07-16 14:14:00,2026-07-16 14:14:00
7,2E0MZA,IO90WT,50.812,-0.125,165,447,906,2,4,8,2026-07-10 17:02:00,2026-07-17 16:32:00
7,2E0SIO,IO91RI,51.354,-0.542,0,0,4560,0,0,5,2026-07-10 22:04:00,2026-07-14 12:42:00
7,2M0HZO,IO75UU,55.854,-4.292,0,0,92,0,0,1,2026-07-10 18:50:00,2026-07-10 19:14:00
7,4X1DA,KM71LV,31.896,34.958,153,457,1400,2,4,8,2026-07-10 19:02:00,2026-07-17 03:58:00
7,4X1DA,KM71MV,31.896,35.042,0,28,28,0,1,1,2026-07-16 02:58:00,2026-07-16 04:28:00
7,56IGJF,FN42ED,42.146,-71.625,1709,4531,10656,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,5P1NSA,JO65EQ,55.688,12.375,0,0,11,0,0,1,2026-07-11 09:46:00,2026-07-11 10:06:00
7,5Z4GO,KI96UA,-3.979,39.708,229,598,1547,2,4,8,2026-07-10 22:06:00,2026-07-17 16:58:00
7,6K5EDY,PM45PM,35.521,129.292,0,0,1,0,0,1,2026-07-14 15:52:00,2026-07-14 15:52:00
7,7L4IOU1,PM95WR,35.729,139.875,78,214,451,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,7L4IOU2,PM95WR,35.729,139.875,111,453,1222,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,7L4IOU3,PM95WR,35.729,139.875,168,561,1507,2,4,8,2026-07-10 21:06:00,2026-07-17 16:54:00
7,7L4IOU4,PM95WR,35.729,139.875,344,944,2381,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,7L4IOU9,PM95WR,35.729,139.875,389,1112,2742,2,4,8,2026-07-10 17:00:00,2026-07-17 16:54:00
7,9V1KG,OJ11XI,1.354,103.958,40,55,100,1,3,7,2026-07-10 17:00:00,2026-07-17 15:30:00
7,9V69XX3,OJ11VI,1.354,103.792,0,0,159,0,0,2,2026-07-10 17:00:00,2026-07-12 19:38:00
7,A2NEW,KG25,-24.521,24.958,391,975,2158,2,4,8,2026-07-10 17:06:00,2026-07-17 16:32:00
7,AA0N,EN42FA,42.021,-91.542,0,787,1011,0,1,2,2026-07-14 06:02:00,2026-07-16 06:58:00
7,AA1QR,FN43CE,43.188,-71.792,152,362,955,2,4,8,2026-07-10 17:40:00,2026-07-17 15:56:00
7,AA6KL,CM87WJ,37.396,-122.125,76,258,1016,2,4,8,2026-07-10 17:02:00,2026-07-17 16:46:00
7,AA7NM,CN86OX,46.979,-122.792,2202,5603,11472,2,4,8,2026-07-10 17:38:00,2026-07-17 06:58:00
7,AA7RS,DN40CO,40.604,-111.792,0,0,258,0,0,1,2026-07-12 18:52:00,2026-07-12 21:56:00
7,AB0AC,EM37JE,37.188,-93.208,292,721,721,2,3,3,2026-07-15 02:26:00,2026-07-17 01:34:00
7,AB0TS,EN35JA,45.021,-93.208,0,166,327,0,2,4,2026-07-11 22:30:00,2026-07-16 00:34:00
7,AB1KW,FN43FE,43.188,-71.542,1322,3707,8356,2,4,8,2026-07-10 20:08:00,2026-07-17 12:48:00
7,AB1OF,DM05TI,35.354,-118.375,240,974,1617,2,2,4,2026-07-12 23:12:00,2026-07-17 02:38:00
7,AC0G,EM38WW,38.938,-92.125,7949,22672,51508,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,AC0G/ND,EN16OV,46.896,-96.792,5557,15909,36737,2,4,8,2026-07-10 17:00:00,2026-07-17 16:58:00
7,AC0G/S,EM38WW,38.938,-92.125,2281,6116,14483,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,AC0ZW,DM79JU,39.854,-105.208,262,262,262,2,2,2,2026-07-16 23:06:00,2026-07-17 04:26:00
7,AC1BC,FN42LH,42.312,-71.042,175,358,807,2,4,8,2026-07-10 19:54:00,2026-07-17 14:32:00
7,AC1UZ,FN43SN,43.562,-70.458,0,0,4719,0,0,4,2026-07-10 17:00:00,2026-07-13 22:06:00
7,AC2GW,FN13DF,43.229,-77.708,88,586,597,1,2,3,2026-07-13 09:20:00,2026-07-16 17:48:00
7,AC4WW,EM93DL,33.479,-81.708,2881,5323,5323,1,2,2,2026-07-15 02:30:00,2026-07-17 12:36:00
7,AC7IJ,CN87VU,47.854,-122.208,722,1226,4683,1,2,6,2026-07-11 04:14:00,2026-07-17 16:24:00
7,AC7JW,DN40BU,40.854,-111.875,0,0,352,0,0,1,2026-07-14 02:06:00,2026-07-14 03:20:00
7,AC8YJ,EN91OV,41.896,-80.792,2800,5255,11938,2,4,5,2026-07-13 00:56:00,2026-07-17 08:40:00
7,AC9RZ,EN52,42.479,-89.042,1158,3125,7165,2,4,8,2026-07-10 17:06:00,2026-07-17 16:46:00
7,AC9RZ,EN52ET,42.812,-89.625,2,4,14,1,2,7,2026-07-10 21:46:00,2026-07-17 04:46:00
7,AC9RZ,EN52WD,42.146,-88.125,1,3,9,1,3,5,2026-07-11 03:24:00,2026-07-17 02:26:00
7,ACOZW,DM79JU,39.854,-105.208,0,0,269,0,0,1,2026-07-14 01:22:00,2026-07-14 03:24:00
7,AD0RS,DM79LR,39.729,-105.042,0,5,942,0,1,5,2026-07-10 20:26:00,2026-07-15 00:28:00
7,AE0EW,DN70,40.479,-105.042,0,0,165,0,0,2,2026-07-10 17:20:00,2026-07-13 12:26:00
7,AE0EW,DN70MQ,40.688,-104.958,0,0,6,0,0,2,2026-07-10 17:02:00,2026-07-13 03:18:00
7,AE0FG,EN11VG,41.271,-96.208,955,955,5173,1,1,6,2026-07-10 17:00:00,2026-07-17 13:26:00
7,AE0GQ,DM79OP,39.646,-104.792,335,1033,2256,2,4,8,2026-07-10 17:06:00,2026-07-17 14:44:00
